coordinate,base_value,base_step,scale,minus_value,plus_value,minus_normalized_radius,plus_normalized_radius,n,active_fraction,mean_ref_plus_discrepancy,mean_ref_minus_discrepancy,mean_central_discrepancy,mean_response_discrepancy,max_response_discrepancy,central_sensitivity,response_sensitivity,informative
cut.min_rel_width_for_split,1.6,0.1,1.0,1.5,1.7000000000000002,1.0000000000000009,1.0000000000000009,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
cut.min_rel_width_for_split,1.6,0.1,2.0,1.4000000000000001,1.8,1.9999999999999996,1.9999999999999996,20,0.05,0.0,0.011139705882352942,0.011139705882352942,0.011139705882352942,0.22279411764705884,0.000155116308931661,0.000620465235726644,True
cut.min_rel_width_for_split,1.6,0.1,4.0,1.2000000000000002,2.0,3.999999999999999,3.999999999999999,20,0.05,0.0,0.011139705882352942,0.011139705882352942,0.011139705882352942,0.22279411764705884,3.877907723291525e-05,0.000155116308931661,True
cut.max_column_sum_quantile,0.2,0.025,1.0,0.17500000000000002,0.225,0.9999999999999998,0.9999999999999998,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
cut.max_column_sum_quantile,0.2,0.025,2.0,0.15000000000000002,0.25,1.9999999999999996,1.9999999999999996,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
cut.max_column_sum_quantile,0.2,0.025,4.0,0.1,0.30000000000000004,4.0,4.000000000000001,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.w_overlap,10.0,1.0,1.0,9.0,11.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.w_overlap,10.0,1.0,2.0,8.0,12.0,2.0,2.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.w_overlap,10.0,1.0,4.0,6.0,14.0,4.0,4.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.w_prior,2.0,0.25,1.0,1.75,2.25,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.w_prior,2.0,0.25,2.0,1.5,2.5,2.0,2.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.w_prior,2.0,0.25,4.0,1.0,3.0,4.0,4.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.rho_max,0.75,0.025,1.0,0.725,0.775,1.0000000000000009,1.0000000000000009,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.rho_max,0.75,0.025,2.0,0.7,0.8,2.0000000000000018,2.0000000000000018,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.rho_max,0.75,0.025,4.0,0.65,0.85,3.999999999999999,3.999999999999999,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.blocking_gap_ratio,0.05,0.01,1.0,0.04,0.060000000000000005,1.0000000000000002,1.0000000000000002,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.blocking_gap_ratio,0.05,0.01,2.0,0.030000000000000002,0.07,2.0,2.0000000000000004,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.blocking_gap_ratio,0.05,0.01,4.0,0.010000000000000002,0.09,4.0,3.999999999999999,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
